Year,Gender,Age,1.Body Weight (kg),2.Stature height (cm),3.The height of the root of the nose in standing (cm),4.Height of shoulders in standing position (cm),5.Height of the elbow in standing position (cm),6.The height of the tip of the 3rd finger in standing position (cm),7.Arm's reach in standing position (cm),8.The width of the shoulders (cm),9.Lateral chest diameter (cm),10.Arm's reach in standing position (cm),11.Arms spread in standing position (cm),12.Body height in sitting position (cm),13.Height of the root of the nose in a sitting position (cm),14.Elbow height in sitting position (cm),15.Height of the upper arm when flexed at the elbow (cm),16.Knee height in sitting position (cm),17.Arm's reach in sitting position (cm),18.The length of the forearm and hand at the elbow bend  (cm),19.Thigh length in sitting position at knee bend (cm),20.Leg length when sitting forward (cm),21.Arm's reach in sitting position (cm),22.Palm width (cm),23.Palm length (cm),24.Foot width (cm),25.Foot lenght (cm)
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,M,18,65,"173,5","168,0","144,0","105,0","67,0","220,0","46,0","31,0","84,0","173,0","94,0","85,0","23,0","38,0","54,0","134,0","48,0","60,0","102,0","88,0","11,0","19,0","10,0","25,0"
2003,M,18,73,"170,0","168,0","152,0","118,0","71,0","224,0","55,0","41,0","76,0","176,0","97,0","74,0","30,0","37,0","55,0","138,0","50,0","54,0","106,0","74,0","8,0","19,0","11,0","22,0"
2003,M,18,82,"192,0","179,0","167,0","122,0","77,0","243,0","47,0","36,0","94,0","193,0","99,0","86,0","28,0","40,0","64,0","150,0","52,0","62,0","115,0","91,0","10,0","20,0","13,0","31,0"
2003,M,18,67,"181,0","172,0","152,0","120,0","65,0","231,0","46,0","32,0","92,0","183,0","96,0","87,0","23,0","38,0","49,0","142,0","48,0","61,0","109,0","82,0","10,0","21,0","9,5","28,0"
2003,M,19,93,"189,0","176,0","165,0","124,0","70,0","242,0","49,0","42,0","100,0","195,0","94,0","83,0","31,0","40,0","63,0","144,0","50,0","63,0","121,0","94,0","11,0","19,0","10,0","28,0"
2003,M,19,101,"184,0","172,0","158,0","116,0","67,0","233,0","46,0","36,0","92,0","193,0","95,0","84,0","20,0","39,0","61,0","149,0","50,0","65,0","120,0","96,0","12,0","20,0","12,0","36,0"
2003,M,19,72,"173,0","164,0","148,0","109,0","68,0","222,0","50,0","41,0","90,0","180,0","89,0","82,0","25,0","40,0","56,0","131,0","48,0","60,0","109,0","84,0","12,0","20,0","12,0","24,0"
2003,M,19,94,"175,0","165,0","150,0","110,0","65,0","216,0","46,0","35,0","86,0","177,0","99,0","82,0","29,0","35,0","55,0","139,0","45,0","57,0","101,0","89,0","11,0","20,0","10,0","25,0"
2003,M,20,94,"184,0","174,0","150,0","120,0","74,0","231,0","60,0","34,0","86,0","185,0","96,0","86,0","27,0","35,0","60,0","140,0","49,0","63,0","110,0","95,0","11,0","22,0","10,0","28,0"
